date,user,name,text,retweet,favorite,location,Post
2022-04-05 06:53:02+00:00,rudad5,rudy torres,"Hmm let me see 1,00.679.000 COVID deaths because of removing 3 billion from disease control and firing 80% of the p… https://t.co/bOCg7m3PwE",0,0,,"Hmm let me see 1,00.679.000 COVID deaths because of removing 3 billion from disease control and firing 80% of the p… https://t.co/bOCg7m3PwE"
2022-04-05 06:53:01+00:00,wadechang0604,Missnow,"@TheTorontoSun https://t.co/UM5GWKN2pP
⚠️The Timeline of COVID-19⚠️ MUST WATCH‼️
Does experimental vaccines work wi… https://t.co/3dA0y7gBTM",0,0,,"@TheTorontoSun https://t.co/UM5GWKN2pP
⚠️The Timeline of COVID-19⚠️ MUST WATCH‼️
Does experimental vaccines work wi… https://t.co/3dA0y7gBTM"
2022-04-05 06:52:58+00:00,enochaffairs,enochaffairs,"Ukraine 🇺🇦 -  Health &amp; Sanitation: 

Russia 🇷🇺 needs to think of whatever Health &amp; Sanitation issues 

that may sta… https://t.co/EjTLydWmVL",0,0,Ghana,"Ukraine 🇺🇦 -  Health &amp; Sanitation: 

Russia 🇷🇺 needs to think of whatever Health &amp; Sanitation issues 

that may sta… https://t.co/EjTLydWmVL"
2022-04-05 06:52:52+00:00,Iamthemetim,Walker,"@ayotem4real @Olawale_Obe @Tobbsticks @SodiqTade Lol, better let the dead sleep. No government in Oyo has invest on… https://t.co/bv70XLGLIJ",0,0,Africa,"@ayotem4real @Olawale_Obe @Tobbsticks @SodiqTade Lol, better let the dead sleep. No government in Oyo has invest on… https://t.co/bv70XLGLIJ"
2022-04-05 06:52:47+00:00,isaac_amoasi,THE MAN,"@Yaw_Whyte If you really like paying taxes like u want us to believe, then why are u complaining? masa keep mute an… https://t.co/2wpYloKV9f",0,0,"Accra, Ghana","@Yaw_Whyte If you really like paying taxes like u want us to believe, then why are u complaining? masa keep mute an… https://t.co/2wpYloKV9f"
2022-04-05 06:52:47+00:00,Ashers006,Ash,"@BCPOGO75 @thehuman1981 @pondering2 @jjhorgan Pfizers EUA was based on ""intended prevention of covid-19"" https://t.co/ePZHIKJXHY",0,0,"Northern Ireland, United Kingd","@BCPOGO75 @thehuman1981 @pondering2 @jjhorgan Pfizers EUA was based on ""intended prevention of covid-19"" https://t.co/ePZHIKJXHY"
2022-04-05 06:52:46+00:00,wadechang0604,Missnow,"@CP24 https://t.co/UM5GWKN2pP
⚠️The Timeline of COVID-19⚠️ MUST WATCH‼️
Does experimental vaccines work with Covid… https://t.co/R9X738apmM",0,0,,"@CP24 https://t.co/UM5GWKN2pP
⚠️The Timeline of COVID-19⚠️ MUST WATCH‼️
Does experimental vaccines work with Covid… https://t.co/R9X738apmM"
2022-04-05 06:52:42+00:00,musembikyalo,MUTONGOIᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ,@StateHouseKenya @EACCKenya @DCI_Kenya @ODPP_KE @KenyaGovernors @ForeignOfficeKE @BaloziYatani @JaneMarriottUK The… https://t.co/7ApSUtpD7n,0,0,"Nairobi, Kenya",@StateHouseKenya @EACCKenya @DCI_Kenya @ODPP_KE @KenyaGovernors @ForeignOfficeKE @BaloziYatani @JaneMarriottUK The… https://t.co/7ApSUtpD7n
2022-04-05 06:52:41+00:00,thefirstindia,First India,"Chandigarh lifts all COVID-19 restrictions, no penalty for not wearing face mask in public places

#NewsAlert… https://t.co/N1fJNwCaCc",0,0,"Jaipur, India","Chandigarh lifts all COVID-19 restrictions, no penalty for not wearing face mask in public places

#NewsAlert… https://t.co/N1fJNwCaCc"
2022-04-05 06:52:37+00:00,bzzworld2020,Bzzworld,"Doctors say AlphaMeta is the way to go for staying healthy https://t.co/ftLmFsgu1n link in video
#Health #Covid_19 #WeLoveYouJin",0,0,world-wide,"Doctors say AlphaMeta is the way to go for staying healthy https://t.co/ftLmFsgu1n link in video
#Health #Covid_19 #WeLoveYouJin"
