title,link,channel,views,time_published,snippet,verified_badge,extensions,Post,file_path
SPIDER-MAN: NO WAY HOME - FINAL TRAILER | Andrew Garfield | Tom Holland | TeaserPRO Concept Version,https://www.youtube.com/watch?v=6WrNoNra_2U,"{'channel_name': 'Teaser PRO', 'channel_link': 'https://www.youtube.com/c/TeaserPROstudio'}",15M views,5 months ago,SpiderManNoWayHome #NoWayHome Spider-Man: No Way Home is an upcoming American superhero film based on the ...,True,4K,SPIDER-MAN: NO WAY HOME - FINAL TRAILER | Andrew Garfield | Tom Holland | TeaserPRO Concept Version,26_05_2022-12_20_01-Spiderman no way home-partho.csv
SPIDER-MAN: NO WAY HOME - Villains Panel,https://www.youtube.com/watch?v=oKzWmAehB0c,"{'channel_name': 'Spider-Man', 'channel_link': 'https://www.youtube.com/c/spiderman'}",9.7M views,5 months ago,"Look who's back! Willem Dafoe, Alfred Molina, and Jamie Foxx talk about reprising their iconic roles as Green Goblin, Doc Ock, ...",True,4K,SPIDER-MAN: NO WAY HOME - Villains Panel,26_05_2022-12_20_01-Spiderman no way home-partho.csv
Spider-Man: No Way Home - A Satisfying Mess | Video Essay,https://www.youtube.com/watch?v=bA5mmh-g02k,"{'channel_name': 'FilmSpeak', 'channel_link': 'https://www.youtube.com/c/FilmSpeak'}",256K views,5 months ago,Tom Holland's climactic third Spider Man movie in the Homecoming Trilogy has finally arrived and is not only making waves ...,,,Spider-Man: No Way Home - A Satisfying Mess | Video Essay,26_05_2022-12_20_01-Spiderman no way home-partho.csv
No way Home Best Funny Clips In hindi | Best Of Entertainment,https://www.youtube.com/watch?v=GQmB-ceGi9E,"{'channel_name': 'Best Of Entertainment', 'channel_link': 'https://www.youtube.com/channel/UCc798zCiFc6vmXESLHLjqjg'}",410K views,1 month ago,,,,No way Home Best Funny Clips In hindi | Best Of Entertainment,26_05_2022-12_20_01-Spiderman no way home-partho.csv
SPIDER-MAN: NO WAY HOME | Trailer Dubbing Recap | ARtStory,https://www.youtube.com/watch?v=A1kNfnMizVc,"{'channel_name': 'ARtStory', 'channel_link': 'https://www.youtube.com/c/ARtStory88'}",187K views,6 months ago,SPIDER-MAN: NO WAY HOME | Trailer Dubbing Recap | ARtStory #SpiderManNoWayHome #artstory ...,True,,SPIDER-MAN: NO WAY HOME | Trailer Dubbing Recap | ARtStory,26_05_2022-12_20_01-Spiderman no way home-partho.csv
Spider-Man: No Way Home is SO GOOD YOU GUYS OMG,https://www.youtube.com/watch?v=EWrN5EPRTqI,"{'channel_name': 'Schaffrillas Productions', 'channel_link': 'https://www.youtube.com/c/SchaffrillasProductions'}",1M views,5 months ago,The Mets baby let's go the Mets hit a home run (This is a No Way Home review in case I need to say that so this video is ...,True,,Spider-Man: No Way Home is SO GOOD YOU GUYS OMG,26_05_2022-12_20_01-Spiderman no way home-partho.csv
"Behind the Scenes, Bloopers, Deleted Scenes | Spider-Man: No Way Home - Blu-Ray [4K HD]",https://www.youtube.com/watch?v=TkYuR6M0FsA,"{'channel_name': 'JF Clips 3', 'channel_link': 'https://www.youtube.com/channel/UCVTE99JMBsJiwvISmBrrVfA'}",216K views,2 months ago,"0:00 Bloopers & Gag Reel 3:58 A Meeting Of The Spiders 11:10 Weaving Jon Watts' Web 18:18 Realities Collide, Spiders Unite ...",,,"Behind the Scenes, Bloopers, Deleted Scenes | Spider-Man: No Way Home - Blu-Ray [4K HD]",26_05_2022-12_20_01-Spiderman no way home-partho.csv
Everything GREAT About Spider-Man: No Way Home! (Part 2),https://www.youtube.com/watch?v=3fQU198NzkY,"{'channel_name': 'CinemaWins', 'channel_link': 'https://www.youtube.com/c/CinemaWins'}",972K views,2 weeks ago,And now EGA the last hour of No Way Home! Spider-Man 3b. Still not that one. If you want to see that Spider-Man Origins video on ...,True,,Everything GREAT About Spider-Man: No Way Home! (Part 2),26_05_2022-12_20_01-Spiderman no way home-partho.csv
"SPIDERMAN No Way Home Ending Explained | Full Movie Breakdown, Post Credits Scene & Easter Eggs",https://www.youtube.com/watch?v=F0q6IslolVE,"{'channel_name': 'Heavy Spoilers', 'channel_link': 'https://www.youtube.com/c/definition1988'}",2M views,5 months ago,,True,4K,"SPIDERMAN No Way Home Ending Explained | Full Movie Breakdown, Post Credits Scene & Easter Eggs",26_05_2022-12_20_01-Spiderman no way home-partho.csv
Top 21 Spider-Man: No Way Home Funniest Moments,https://www.youtube.com/watch?v=-yzaR2F7MGg,"{'channel_name': 'KayArmenTV', 'channel_link': 'https://www.youtube.com/c/KayArmenTV'}",205K views,1 month ago,Top 21 funniest moments in movie Spider-Man: No Way Home. The film was directed by Jon Watts and written by Chris McKenna ...,,,Top 21 Spider-Man: No Way Home Funniest Moments,26_05_2022-12_20_01-Spiderman no way home-partho.csv
